"Bank","Latitude","Longitude"
"Citibank N.A.",41.90077,-87.62804
"JPMorgan Chase Bank, N.A.",41.89269,-87.62968
"BMO Harris Bank National Association",41.77768,-87.78059
"Fifth Third Bank, N.A.",41.98194,-87.66977
"JPMorgan Chase Bank, N.A.",41.96993,-87.70852
"PNC Bank, National Association",41.88696,-87.62446
"PNC Bank, National Association",41.9373,-87.64431
"Huntington National Bank",41.96775,-87.65896
"Bank of America, National Association",41.79953,-87.59013
"PNC Bank, National Association",41.92367,-87.6876
"Fifth Third Bank, N.A.",41.98964,-87.66026
"JPMorgan Chase Bank, N.A.",41.90369,-87.6394
"PNC Bank, National Association",41.90285,-87.6675
"Fifth Third Bank, N.A.",41.92935,-87.78566
"Fifth Third Bank, N.A.",41.88173,-87.6324
"Citibank N.A.",41.72139,-87.68206
"JPMorgan Chase Bank, N.A.",41.93744,-87.64863
"PNC Bank, National Association",41.88124,-87.68112
"PNC Bank, National Association",41.89624,-87.67984
"Fifth Third Bank, N.A.",41.79232,-87.78278
"JPMorgan Chase Bank, N.A.",41.89921,-87.62827
"Fifth Third Bank, N.A.",41.88152,-87.63678
"BMO Harris Bank National Association",41.90098,-87.62421
"JPMorgan Chase Bank, N.A.",41.88451,-87.61888
"Fifth Third Bank, N.A.",41.9115,-87.80585
"Fifth Third Bank, N.A.",41.98433,-87.7761
"JPMorgan Chase Bank, N.A.",41.93099,-87.74373
"Bank of America, National Association",41.85776,-87.66891
"JPMorgan Chase Bank, N.A.",41.91309,-87.63476
"BMO Harris Bank National Association",42.00183,-87.66075
"JPMorgan Chase Bank, N.A.",41.70724,-87.62034
"Fifth Third Bank, N.A.",41.88452,-87.62589
"JPMorgan Chase Bank, N.A.",41.83092,-87.6173
"PNC Bank, National Association",41.94678,-87.66885
"Citibank N.A.",41.88186,-87.64046
"PNC Bank, National Association",41.91006,-87.71095
"Bank of America, National Association",41.84446,-87.71078
"JPMorgan Chase Bank, N.A.",41.8812,-87.68431
"Huntington National Bank",41.9104,-87.68113
"Fifth Third Bank, N.A.",41.87882,-87.63521
"Bank of America, National Association",41.93224,-87.71173
"Bank of America, National Association",41.86647,-87.66641
