Reporting Year,Bank,RFP Source,Data Description,Office Address,ZIP Code,Census Tract,Location
2021,"Fifth Third Bank, N.A.",Form G,Depository Locations,6422 W Archer Ave,,17031560900,POINT (-87.78278 41.79232)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,902 N State St,60610,,POINT (-87.62827 41.89921)
2021,"Fifth Third Bank, N.A.",Form G,Depository Locations,1 S Wacker Dr,,17031839100,POINT (-87.63678 41.88152)
2022,Huntington,Form G,Depository Location,"2520 N Narragansett Ave, Chicago, IL, 60639",,17031831500,POINT (-87.78554 41.92592)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,739 W Madison St,,170312819.00,POINT (-87.64682 41.88179)
2022,"BMO HARRIS BANK, N.A.",Form G,Depository Location,352 E. ILLINOIS STREET,,17031081403,POINT (-87.61827 41.89105)
2022,Huntington,Form G,Depository Location,"6315 W 55th St, Chicago, IL, 60638",,17031561100,POINT (-87.78002 41.79235)
2022,Fifth Third Bank N.A,Form G,Depository Location,5241 West 63rd Street,,17031640700,POINT (-87.75358 41.77797)
2021,BMO Harris Bank National Association,Form G,Depository Locations,1000 N. Lake Shore Drive,,17031081201,POINT (-87.62421 41.90098)
2022,Citibank N.A.,Form G,Depository Location,2022 S ARCHER AVE,,17031841100,
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,4645 W Diversey Ave,,170311909.00,POINT (-87.74373 41.93099)
2022,U.S. Bank,Form G,Depository Location,190 S La Salle St,,8391.00,POINT (-87.63235 41.87976)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,340 E Randolph St,60601-7418,,POINT (-87.61888 41.88451)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,4455 S Pulaski Rd,,170315701.00,POINT (-87.72266 41.81246)
2022,U.S. Bank,Form G,Depository Location,400 Madison St,,8175.00,POINT (-87.63929 41.88188)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,3101 W Cermak Rd,,170313009.00,POINT (-87.70303 41.85179)
2022,U.S. Bank,Form G,Depository Location,55 E Grand Ave,,8609.03,POINT (-87.62603 41.89169)
2022,U.S. Bank,Form G,Depository Location,4343 N Harlem Ave,,8105.02,POINT (-87.80722 41.95995)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,"2377 N Lincoln Ave, Ste A1-100",,170310712.00,POINT (-87.64823 41.92507)
2021,"Fifth Third Bank, N.A.",Form G,Depository Locations,1725 North Harlem Avenue,,17031250500,POINT (-87.80585 41.9115)
2022,PNC Bank,Form G,Depository Location,"5100 S LAKE PARK AVE CHICAGO, IL 60615",,17031410100,POINT (-87.58794 41.80246)
2021,"Fifth Third Bank, N.A.",Form G,Depository Locations,5670 N Milwaukee Ave,,17031110100,POINT (-87.7761 41.98433)
2022,Citibank N.A.,Form G,Depository Location,500 W MADISON ST,,17031280100,
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,4645 W Diversey Ave,60639-1828,,POINT (-87.74373 41.93099)
2021,"Bank of America, National Association",Form G,Depository Locations,"1705 W 18th St., Chicago, IL 60608-1913",,17031310800,POINT (-87.66891 41.85776)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,5341 N Lincoln Ave,,170310402.02,POINT (-87.69264 41.97898)
2022,U.S. Bank,Form G,Depository Location,5621 75th St,,0025.00,
2022,PNC Bank,Form G,Depository Location,"1955 N DAMEN AVE CHICAGO, IL 60647",,17031831000,POINT (-87.67761 41.91756)
2022,Fifth Third Bank N.A,Form G,Depository Location,5670 N Milwaukee Ave,,17031110100,POINT (-87.7761 41.98433)
2022,Bank of America,Form G,Depository Location,135 S La Salle St STE LL18,,17031839100,POINT (-87.63235 41.87972)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,1700 N Wells St,60614-5806,,POINT (-87.63476 41.91309)
2022,U.S. Bank,Form G,Depository Location,5201 W Madison St,,2521.02,POINT (-87.75548 41.88037)
2021,BMO Harris Bank National Association,Form G,Depository Locations,6556 N. Sheridan Road,,17031010503,POINT (-87.66075 42.00183)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,6650 S Stony Island Ave,,170318439.00,POINT (-87.58677 41.77385)
2022,Bank of America,Form G,Depository Location,2 N Riverside Plz,,17031280100,POINT (-87.63873 41.88196)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,92 E 103rd St,60628,,POINT (-87.62034 41.70724)
2021,"Fifth Third Bank, N.A.",Form G,Depository Locations,57 East Randolph,,17031320100,POINT (-87.62589 41.88452)
2022,Bank of America,Form G,Depository Location,105 N Halsted St,,17031280100,POINT (-87.64741 41.88342)
2022,U.S. Bank,Form G,Depository Location,18300 Dixie Hwy,,8286.01,POINT (-87.66538 41.55721)
2022,Bank of America,Form G,Depository Location,7225 W Belmont Ave,,17031170900,POINT (-87.80779 41.938)
2022,"BMO HARRIS BANK, N.A.",Form G,Depository Location,5711 NORTH CLARK STREET,,17031030500,POINT (-87.66929 41.98584)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,3500 S King Dr,60653-1110,,POINT (-87.6173 41.83092)
2022,Fifth Third Bank N.A,Form G,Depository Location,820 N Western Ave,,17031242500,POINT (-87.68725 41.89635)
2022,Huntington,Form G,Depository Location,"7227 W Addison St, Chicago, IL, 60634",,17031170800,POINT (-87.80783 41.94526)
2022,U.S. Bank,Form G,Depository Location,2131 S China Pl,,8411.00,POINT (-87.6336 41.85444)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,300 S Riverside Plz,,170312819.00,POINT (-87.63883 41.87741)
