"Address","Date.of.Acquisition","Latitude","Longitude"
"7703 S FIELDING AVE","02/26/2002",41.7541611,-87.6375444
"1044 W 61ST ST","",41.7835518,-87.6514829
"4815 W FERDINAND ST","04/17/2003",41.8893054,-87.7462864
"7046 S HARPER AVE","06/07/1999",41.7665069,-87.5883477
"6457 S ABERDEEN ST","07/30/1998",41.7761957,-87.6516374
"5352 S WOLCOTT AVE","01/25/2000",41.7960634,-87.6722873
"7010 S PERRY AVE","08/14/2000",41.7668526,-87.6286425
"10909 S WENTWORTH AVE","05/24/2013",41.6958435,-87.6276408
"127 N PINE AVE","01/19/2021",41.8830967,-87.763011
"12327 S WALLACE ST","01/09/1987",41.6697358,-87.6364845
"5407 S SHIELDS AVE","01/25/2005",41.7960279,-87.6339305
"816 W 50TH PL","06/23/2011",41.8027438,-87.6461741
"557 N CENTRAL AVE","10/15/1996",41.8909368,-87.7647939
"5139 S PAULINA ST","08/17/2010",41.8001474,-87.6668335
"8034 S NORMAL AVE","02/02/2005",41.7478234,-87.6369966
"5345 S LOWE AVE","",41.7966831,-87.6414241
"4456 W ADAMS ST","06/30/1976",41.8780902,-87.7376218
"4648 W GLADYS AVE","06/28/2004",41.8762196,-87.7421359
"6318 S ABERDEEN ST","",41.7789924,-87.6524105
"5823 S LASALLE ST","10/09/1998",41.7882418,-87.6287423
"4306 W KAMERLING AVE","09/09/1988",41.9055225,-87.734142
"4846 W HURON ST","05/28/2003",41.8933999,-87.7476527
"9316 S HARPER AVE","01/26/2006",41.7254087,-87.5870069
"1821 W 63RD ST","02/02/2005",41.7790719,-87.6700784
"11615 S PRINCETON AVE","03/05/2012",41.6829034,-87.6296694
"8921 S BALTIMORE AVE","09/17/2002",41.7329909,-87.5482329
"7008 S NORMAL BLVD","08/01/1997",41.7667964,-87.6375328
"7354 S YALE AVE","03/23/1998",41.7601036,-87.6312266
"7725 S MARYLAND AVE","05/26/1977",41.7541716,-87.6036868
"1334 S INDEPENDENCE BLVD","09/07/1989",41.8633109,-87.720497
"32 S SACRAMENTO BLVD","",41.8800382,-87.7014411
"6847 S PARNELL AVE","11/13/2000",41.7693973,-87.6380228
"5231 S CARPENTER ST","06/16/2004",41.7985265,-87.6510013
"1840 S KOMENSKY AVE","",41.855704,-87.7264262
"3103 W LEXINGTON ST","",41.8716259,-87.7037394
"6127 S STEWART AVE","01/25/2006",41.7827727,-87.6348624
"7020 S HARPER AVE","09/25/2015",41.7671931,-87.5883646
"5941 S HERMITAGE AVE","",41.7855078,-87.667663
"12108 S LOOMIS ST","04/20/2015",41.6736284,-87.6567387
"1245 S FAIRFIELD AVE","10/03/1989",41.865147,-87.6942446
"1458 W 57TH ST","09/27/1995",41.7906501,-87.6619012
"5711 S LAFAYETTE AVE","",41.7905912,-87.6263798
"1300 S HARDING AVE","02/27/1969",41.8641973,-87.7242491
"706 E 42ND ST","",41.81882,-87.6088095
"5759 S ABERDEEN ST","05/24/1989",41.7888702,-87.6519633
"10521 S STATE ST","",41.7028167,-87.623054
"1255 S KOSTNER AVE","12/10/2001",41.8644272,-87.7345615
"5249 S ABERDEEN ST","05/28/2004",41.7982294,-87.6522089
"3852 W FERDINAND ST","",41.8901738,-87.7231443
"7029 S PRINCETON AVE","06/18/1998",41.7662537,-87.6318734
"6954 S PARNELL AVE","01/12/2000",41.7673652,-87.6387608
"6735 S ABERDEEN ST","05/13/2011",41.7712858,-87.6515094
"715 W 66TH PL","11/09/1989",41.7731525,-87.6433254
"6340 S WOOD ST","04/20/2005",41.7780648,-87.6694128
"1337 S KOMENSKY AVE","12/23/1987",41.8632196,-87.7261587
"10553 S CHURCH ST","",41.7014533,-87.6598492
"7914 S WOOD ST","09/06/2005",41.7497689,-87.6686279
"1223 W 71ST PL","06/25/2009",41.7638712,-87.6550501
"3304 E 88TH ST","07/17/2002",41.735941,-87.5441503
"1511 S MILLARD AVE","",41.860393,-87.716114
"959 N RACINE AVE","02/18/1986",41.8993082,-87.6574762
"3842 W OHIO ST","",41.8919918,-87.7227801
"5750 S WOLCOTT AVE","",41.7887702,-87.6720844
"6453 S ABERDEEN ST","03/26/1996",41.7762643,-87.6516391
"5300 S UNION AVE","01/24/2005",41.7978443,-87.643161
"7539 S COLFAX AVE","05/05/2003",41.7578719,-87.5610724
"741 W 61ST PL","",41.7822468,-87.6430263
"6312 S LANGLEY AVE","",41.779892,-87.6087158
"6000 S WABASH AVE","09/19/2000",41.7853943,-87.6242125
"1824 W 69TH ST","04/15/2005",41.7687446,-87.6698031
"6408 S HOYNE AVE","",41.7771556,-87.6766411
"8936 S MACKINAW AVE","09/17/2002",41.7327086,-87.5433637
"4461 S SHIELDS AVE","09/06/2002",41.8128354,-87.6342812
"6370 S ELLIS AVE","",41.7786962,-87.600766
"5702 S PAULINA ST","03/20/2012",41.790164,-87.6672692
"1250 S KEELER AVE","09/05/1979",41.8645675,-87.7303738
"4521 S EVANS AVE","",41.8125027,-87.6078297
"6915 S MAY ST","07/01/2011",41.7682475,-87.6526418
"5016 S LOOMIS ST","",41.8026506,-87.6603077
"12018 S EMERALD AVE","04/23/2002",41.6754661,-87.6409918
"5159 N MONITOR AVE","10/09/1998",41.9755832,-87.7743955
"8222 S MUSKEGON AVE","11/29/2000",41.745704,-87.5555581
"4531 S EVANS AVE","",41.8122131,-87.6081082
"8224 S ELLIS AVE","04/29/1996",41.7450419,-87.6005062
"8248 S BUFFALO AVE","09/19/2012",41.7452061,-87.5446251
"2525 W WARREN BLVD","11/14/1989",41.8817917,-87.6895369
"5011 S SHIELDS AVE","12/16/1998",41.8032252,-87.6340545
"1049 W 61ST ST","",41.783176,-87.651737
"7715 S EGGLESTON AVE","09/08/2011",41.7539271,-87.6352953
"5705 S MORGAN ST","",41.7903333,-87.6495654
"5713 S CARPENTER ST","",41.7901515,-87.6509801
"1409 W 109TH PL","01/25/1996",41.6946451,-87.6575004
"554 W 28TH ST","03/01/2000",41.8436815,-87.6414613
"5958 S MAY ST","11/22/2011",41.7852099,-87.6537813
"6000 S MORGAN ST","",41.7850034,-87.6501315
"11118 S ASHLAND AVE","10/29/1970",41.6917584,-87.6624473
"6032 S MAY ST","",41.7840845,-87.6535484
"5410 S JUSTINE ST","09/16/2004",41.7954643,-87.663758
"4227 W CARROLL AVE","02/16/1977",41.8866686,-87.7318412
"5016 S CHRISTIANA AVE","09/19/2006",NA,NA
"112 N LOTUS AVE","02/03/2020",41.8827501,-87.761842
"1446 S HAMLIN AVE","",41.8612108,-87.7204961
"10157 S LAFAYETTE AVE","12/02/2008",41.7091135,-87.6244299
"7617 S DANTE AVE","",41.7563219,-87.5891704
"7100 S STEWART AVE","12/18/1998",41.7651263,-87.6350302
"6745 S PAULINA ST","",41.7708307,-87.6662626
"6121 S STEWART AVE","",41.7828857,-87.6348654
"3141 W LEXINGTON ST","",41.8716124,-87.7050243
"7145 S EGGLESTON AVE","07/11/2012",41.7639181,-87.6355089
"1440 W 71ST ST","",41.7652178,-87.6605914
"4503 W GLADYS AVE","12/15/1995",41.8758629,-87.7380842
"6934 S MARSHFIELD AVE","",41.7674825,-87.6652485
"602 N SPRINGFIELD AVE","",41.8919247,-87.7238906
"4722 S WABASH AVE","11/18/1992",41.8085159,-87.6249181
"1947 W 63RD ST","07/05/2005",41.7790245,-87.6733902
"174 N LEAMINGTON AVE","",41.8838854,-87.7543258
"7015 S HARPER AVE","09/27/1994",41.7672694,-87.5874827
"29 W 112TH ST","09/15/1995",41.690499,-87.624207
"1950 S HOMAN AVE","",41.8538679,-87.7104901
"2734 W LEXINGTON ST","05/09/1978",41.8722454,-87.6949065
"525 W 80TH ST","04/15/2005",41.7486379,-87.6377214
"4031 W FIFTH AVE","10/03/2006",41.8724816,-87.7264862
"3843 W ARTHINGTON ST","10/15/1996",41.8695891,-87.7219802
"5749 S LASALLE ST","01/10/2002",41.7895309,-87.6288039
"1264 W 72ND ST","03/14/2008",41.7634593,-87.6565982
"700 E 43RD ST","",41.8169874,-87.6090182
"749 S KOLMAR AVE","10/31/2001",41.8709698,-87.7386298
"6144 S STEWART AVE","08/17/1992",41.782171,-87.635455
"102 W MARQUETTE RD","11/09/2005",41.7730303,-87.6276941
"12028 S UNION AVE","04/23/2002",41.6751041,-87.6398126
"8435 S EUCLID AVE","",41.7414678,-87.5766563
"3851 W FERDINAND ST","",41.8896449,-87.7230294
"938 W 52ND ST","02/09/2006",41.7999822,-87.6492876
"3412 W DOUGLAS BLVD","",41.8633231,-87.7107496
"401 N HARDING AVE","05/01/2003",41.8882568,-87.7255254
"6452 S HERMITAGE AVE","",41.7760431,-87.6679464
"1534 W 110TH ST","07/18/2006",41.6941195,-87.6611505
"5823 S PERRY AVE","",41.788163,-87.6273407
"8943 S BUFFALO AVE","09/17/2002",41.732495,-87.5439465
"6743 S EVANS AVE","03/19/1991",41.8140335,-87.6088141
"7152 S LOWE AVE","03/19/1991",41.7636376,-87.6404482
"3853 W FLOURNOY ST","03/21/2001",41.872317,-87.7224039
"534 W 65TH PL","",41.7750342,-87.6375857
"6910 S PARNELL AVE","04/13/2005",41.7684978,-87.6387907
"5019 S BISHOP ST","06/08/2004",41.8025746,-87.6608212
"4722 W HURON ST","12/08/2000",41.893438,-87.7444665
"5326 S WINCHESTER AVE","",41.7967642,-87.6735059
"7831 S LOWE AVE","",41.751532,-87.6400456
"5743 S LASALLE ST","",41.7897103,-87.6290044
"6150 S WALLACE ST","03/17/1988",41.7820111,-87.6403404
"454 E 92ND ST","08/12/1994",41.7276665,-87.6121688
"7002 S HONORE ST","10/18/2012",41.7664651,-87.6702866
"13409 S CORLISS AVE","12/21/2004",41.651492,-87.60184
"4838 W HURON ST","03/28/2003",41.8934022,-87.7473543
"30 S SACRAMENTO BLVD","",41.8800957,-87.7014426
"6723 S THROOP ST","10/11/2017",41.7715674,-87.6563698
"344 W 56TH PL","02/07/1997",41.7921316,-87.6347506
"1544 S KILBOURN AVE","11/20/2001",41.859197,-87.7375417
"11002 S ASHLAND AVE","05/31/2006",41.6936816,-87.6620515
"8530 S SANGAMON ST","",41.738639,-87.6476912
"8953 S HOUSTON AVE","11/20/1917",41.7321094,-87.5495159
"325 W 51ST PL","01/31/2005",41.8006164,-87.6341804
"4249 W CARROLL AVE","06/10/2003",41.886687,-87.7326683
"6050 S LASALLE ST","02/18/1986",NA,NA
"6956 S MAY ST","",41.7670443,-87.6533078
"6325 S PAULINA ST","09/03/2010",41.7786539,-87.6663254
"5039 S ABERDEEN ST","03/19/1991",41.8022056,-87.652306
"1825 W 69TH ST","09/06/2005",41.7682203,-87.6698186
"10925 S WENTWORTH AVE","01/13/1995",41.6953927,-87.627629
"6444 N FRANCISCO AVE","01/20/2015",41.9988359,-87.7024765
"720 N LAWNDALE AVE","",41.8943257,-87.7190692
"115 N PINE AVE","02/03/2021",41.8828279,-87.7630018
"1222 W 110TH PL","02/17/2012",41.6933994,-87.6531143
"5001 S SHIELDS AVE","03/22/1991",41.8034254,-87.6340608
"11918 S EGGLESTON AVE","04/20/2007",41.6772339,-87.6338096
"8845 S BURLEY AVE","",41.7343036,-87.5453843
"603 W 120TH ST","",41.6758466,-87.6372941
"14 S SACRAMENTO BLVD","",41.8805036,-87.7014538
"11559 S PERRY AVE","03/19/1991",41.6835053,-87.6249423
"9111 S WOODLAWN AVE","02/05/2002",41.729101,-87.5945994
"1540 S KOMENSKY AVE","09/27/1994",41.8594485,-87.7265505
"2116 W 69TH PL","11/18/2004",41.7677606,-87.676856
"6614 S SAINT LAWRENCE AVE","",41.7743871,-87.6108123
"143 E 117TH ST","05/09/2000",41.6813314,-87.6189212
"732 E 134TH PL","01/25/2005",41.651171,-87.6038974
"7358 S SEELEY AVE","",41.7594419,-87.6749618
"8826 S MACKINAW AVE","09/17/2002",41.7348103,-87.543415
"4102 W WILCOX ST","",41.8790956,-87.7282364
"3832 W CERMAK RD","04/01/1969",41.8518079,-87.7211831
"612 W 60TH ST","02/18/1997",41.7849259,-87.6406819
"1519 W 69TH ST","03/01/2000",41.7683213,-87.6621675
"219 N MENARD AVE","02/28/1978",41.884736,-87.7694551
"5346 S HONORE ST","02/14/2005",41.7962783,-87.6710757
"6533 S WOLCOTT AVE","12/18/1997",41.7747594,-87.6710317
"1323 S CENTRAL PARK AVE","",41.8637357,-87.7149462
"2636 S GREEN ST","",41.8445085,-87.6476752
"1919 S ALBANY AVE","02/20/1998",41.8548518,-87.7025694
"6443 S EGGLESTON AVE","",41.7767663,-87.636091
"4728 S SHIELDS AVE","02/28/2005",41.8081496,-87.6349038
"6220 S MAY ST","",41.7807484,-87.6536698
"6432 S WOOD ST","07/01/2005",41.7765801,-87.6693706
"16 S SACRAMENTO AVE","11/09/1989",41.8804433,-87.7014522
"5738 S LASALLE ST","04/19/2005",41.7897977,-87.6294327
"1505 S DRAKE AVE","",41.8604894,-87.7136788
"5255 S UNION AVE","",41.7981906,-87.64268
"638 W 120TH ST","",41.6762396,-87.6386809
"4729 W ERIE ST","06/10/2003",41.8920322,-87.744599
"6405 S EGGLESTON AVE","",41.777815,-87.635958
"3108 W ARTHINGTON ST","",41.8703272,-87.7037915
"1109 S ALBANY AVE","",41.8678844,-87.7029207
"5716 S ELIZABETH ST","",41.7899732,-87.6563345
"13421 S MARYLAND AVE","12/21/2004",41.6511667,-87.6006369
"7119 S UNIVERSITY AVE","09/30/2013",41.7653373,-87.5966996
"7027 S PRINCETON AVE","",41.7663815,-87.6320941
"5215 S ABERDEEN ST","08/31/2004",41.7991272,-87.652231
"6213 S PRINCETON AVE","08/18/2010",41.7812441,-87.6323454
"651 N SAINT LOUIS AVE","",41.8933183,-87.7134585
"237 W 111TH PL","04/28/2005",41.6913408,-87.6293871
"356 S KOSTNER AVE","",41.8753041,-87.7356127
"820 W 117TH ST","10/24/2006",41.6817712,-87.6429754
"13412 S MARYLAND AVE","12/21/2004",41.6513826,-87.6013585
"6338 S CARPENTER ST","",41.7784607,-87.6511815
"4941 W FERDINAND ST","04/17/2003",41.8892774,-87.7496921
"6550 S KIMBARK AVE","",41.7753692,-87.5948901
"1446 S KENNETH AVE","",41.8609629,-87.7363795
"1121 S MOZART ST","",41.8676761,-87.6968049
"129 N KARLOV AVE","03/09/1998",41.8829469,-87.7278314
"6819 S JUSTINE ST","09/19/2012",41.7697709,-87.6623919
"12021 S LOWE AVE","",41.6753635,-87.6378718
"835 W 53RD ST","03/05/2002",41.7975606,-87.6467283
"12201 S INDIANA AVE","06/29/2007",41.672407,-87.6168658
"5838 S LAFAYETTE AVE","02/11/1987",41.7878858,-87.6269165
"4147 W GLADYS AVE","03/06/1986",41.8758615,-87.7297813
"1948 S SPAULDING AVE","",41.8539804,-87.7081034
"316 W 52ND ST","01/31/2005",41.8002383,-87.6339046
"7250 S PERRY AVE","",41.7620987,-87.6284271
"5313 S WOLCOTT AVE","02/20/2004",41.797165,-87.6716172
"5326 S WABASH AVE","07/14/1975",41.7972757,-87.6246313
"1538 S KEDVALE AVE","",41.8594816,-87.728995
"834 W 52ND ST","",41.7998666,-87.6468144
"6321 S HERMITAGE AVE","",41.778707,-87.6675298
"7008 S WALLACE ST","",41.765777,-87.6411195
"657 W 120TH ST","",41.6757947,-87.6392249
"1310 S KOMENSKY AVE","06/02/2015",41.8639421,-87.7266832
"4036 W POLK ST","05/16/1973",41.8711809,-87.7269379
"640 E 43RD ST","",41.8168673,-87.6100798
"857 W 51ST PL","03/05/2002",41.8003844,-87.6475237
"300 N LATROBE AVE","08/10/1999",41.8857938,-87.7568409
"1930 S ALBANY AVE","10/18/1976",41.8544845,-87.7032496
"8811 S BURLEY AVE","",41.7351965,-87.545406
"2733 E 76TH ST","03/22/2001",41.7577371,-87.5568758
"108 N LOTUS AVE","03/25/2020",41.8759196,-87.7624036
"7018 S MORGAN ST","03/07/2012",41.7663257,-87.6496495
"1272 W 74TH ST","02/05/1993",41.7598181,-87.65678
"3 W 114TH PL","12/18/2002",41.6859646,-87.6231264
"1847 S DRAKE AVE","",41.8558016,-87.7135457
"1855 W 63RD ST","02/02/2005",41.7790555,-87.6712348
"5420 S MORGAN ST","05/13/1999",41.7953814,-87.6503965
"4853 W HURON ST","04/23/2003",41.8928868,-87.7477965
"12056 S INDIANA AVE","11/10/2006",41.6746036,-87.6181193
"1501 E 73RD ST","02/29/1996",41.7621292,-87.5882424
"8616 S CARPENTER ST","",41.7372623,-87.6498778
"4029 W WILCOX ST","",41.878598,-87.7267802
"145 W 106TH PL","",41.7006217,-87.6274688
"3955 W ONTARIO ST","",41.8921348,-87.7255314
"6413 S MARYLAND AVE","",41.7781901,-87.6045047
"6109 S STEWART AVE","07/14/1997",41.7831351,-87.6347552
"1851 W 63RD ST","07/23/2003",41.7790568,-87.6711385
"2445 W 34TH PL","09/27/1990",41.8308896,-87.6869722
"1456 W 111TH ST","06/13/2008",41.6924147,-87.6592244
"639 W 120TH ST","",41.6759206,-87.6385466
"2943 W JACKSON BLVD","04/09/2001",41.8771073,-87.7003111
"35 E 120TH ST","06/27/2005",41.6759605,-87.6211355
"1142 W GARFIELD BLVD","01/11/2000",41.7945928,-87.6545417
"9530 S LA SALLE ST","",41.7206841,-87.6277775
"2846 N DAWSON AVE","08/10/2006",41.9340185,-87.7125235
"5350 S MAY ST","01/31/2006",41.7962998,-87.65407
"11820 S LASALLE ST","06/11/2010",41.6791591,-87.6266669
"3941 W FILLMORE ST","07/31/1996",41.8677418,-87.724458
"5620 S HERMITAGE AVE","",41.7915088,-87.6683157
"10564 S MICHIGAN AVE","05/21/2002",41.7016102,-87.6212105
"140 S ALBANY AVE","",41.8784086,-87.7038917
"7030 S WENTWORTH AVE","",41.7663145,-87.6299399
"5327 S SHIELDS AVE","",41.7973181,-87.6339619
"6240 S ABERDEEN ST","",41.780239,-87.6522333
"6921 S PAULINA ST","02/12/1998",41.7678498,-87.6659796
"13449 S CORLISS AVE","01/25/2005",41.6504152,-87.6018302
"6735 S UNION AVE","09/13/1995",41.7714295,-87.6413334
"1741 W 69TH ST","04/15/2005",41.7682404,-87.6679337
"9810 S EWING AVE","07/19/2010",41.7173131,-87.5356475
"319 W 104TH PL","10/16/1985",41.7040682,-87.6313972
"8338 S PRAIRIE AVE","07/19/2017",41.7425386,-87.618405
"4101 W ARTHINGTON ST","03/10/1982",41.8697246,-87.7279192
"5440 S DEARBORN ST","01/09/1997",41.7952856,-87.6271023
"327 W 58TH ST","",41.7886317,-87.633989
"12109 S YALE AVE","01/22/2003",41.6739245,-87.628202
"323 W 51ST PL","",41.8006188,-87.6340925
"6321 S MARSHFIELD AVE","01/19/2006",41.778738,-87.6651237
"6022 S WOOD ST","",41.7841265,-87.6695368
"126 E 119TH ST","03/21/2002",41.6784516,-87.619362
"333 W 110TH PL","12/08/2003",41.6931369,-87.6316843
"6503 S BISHOP ST","03/08/2011",41.7756976,-87.6601849
"525 W 120TH ST","",41.6759503,-87.6357715
"3308 W WALNUT ST","09/02/1997",41.8856181,-87.7091117
"6920 S MARSHFIELD AVE","10/08/2004",41.7677874,-87.6654627
"1515 E 69TH PL","03/19/1997",41.7685096,-87.5872365
"648 N RIDGEWAY AVE","",41.8932333,-87.7202504
"6321 S PAULINA ST","",41.7787225,-87.6663272
"412 N SPRINGFIELD AVE","",41.8885203,-87.723796
"516 N AVERS AVE","",41.8905004,-87.72262
"5829 S PERRY AVE","09/13/2010",41.7879764,-87.6273358
"5323 S WABASH AVE","",41.7974128,-87.6236788
"526 N PAULINA ST","01/14/2002",41.8919487,-87.6700995
"649 W 62ND ST","",41.7813526,-87.6418286
"8911 S BUFFALO AVE","06/19/2002",41.7333877,-87.5439683
"2943 W ADAMS ST","08/02/2001",41.8780436,-87.7003198
"7719 S NORMAL AVE","09/08/1998",41.7538268,-87.6364499
"3955 W ERIE ST","03/19/1998",41.8927155,-87.72559
"7249 S CARPENTER ST","12/17/2012",41.7618643,-87.6500465
"6104 S PRINCETON AVE","",41.7834066,-87.6328479
"628 N RIDGEWAY AVE","",41.8926832,-87.7202339
"915 E 134TH ST","12/27/2004",41.6515878,-87.5996423
"3517 W DOUGLAS BLVD","10/15/2004",41.8621001,-87.7136198
"4016 S VINCENNES AVE","",41.8206495,-87.6137007
"707 W  50TH                   ST","",41.8031808,-87.6433075
"11 E 110TH ST","",41.6941724,-87.6225872
"5914 S WINCHESTER AVE","",41.786139,-87.6732263
"1949 S HOMAN AVE","02/14/2002",41.8539482,-87.7098372
"13320 S SAINT LAWRENCE AVE","05/16/2012",41.6528908,-87.6078549
"1413 S KEELER AVE","04/02/1970",41.8619883,-87.7295913
"1610 S RIDGEWAY AVE","",41.8585317,-87.7192166
"5952 S ABERDEEN ST","",41.7853719,-87.6525736
"5421 S SHIELDS AVE","12/29/2004",41.7956838,-87.6339226
"6909 S UNION AVE","",41.7685626,-87.6419016
"731 N CENTRAL PARK AVE","",41.8945981,-87.7159171
"5707 S LAFLIN ST","",41.7901679,-87.6617081
"900 N TRUMBULL AVE","",NA,NA
"5200 S WOLCOTT AVE","10/08/1997",41.7993099,-87.6723765
"12009 S WALLACE ST","01/14/2000",41.6757195,-87.6366818
"10716 S BUFFALO AVE","02/24/1972",41.7003419,-87.5441289
"2909 E 81ST ST","08/18/2010",41.7481047,-87.5536083
"2249 N LOREL AVE","09/16/2011",41.9218371,-87.7594151
"8844 S SAGINAW AVE","08/05/1986",41.7340629,-87.5600402
"329 S FRANCISCO AVE","08/06/1980",41.8764669,-87.6982712
"4228 W CARROLL AVE","03/31/1977",41.8871448,-87.7319478
"9025 S MACKINAW AVE","12/14/2001",41.7311669,-87.5425174
"1237 S AVERS AVE","",41.8650848,-87.7211263
"236 W 104TH PL","04/26/2010",41.7046145,-87.6296494
"5241 S SANGAMON ST","01/24/2005",41.7984934,-87.6485657
"1624 S HOMAN AVE","",41.9167267,-87.6688317
"3128 W WALNUT ST","",41.8856896,-87.7049649
"628 E 134TH PL","01/08/2002",41.6512098,-87.6063749
"644 W 61ST ST","",41.7835458,-87.6418343
"5246 S PRINCETON AVE","",41.7985941,-87.6332506
"11757 S LAFAYETTE AVE","07/27/2010",41.6799644,-87.6236045
"918 W 54TH PL","09/10/2004",41.7953745,-87.6483982
"5347 S LOWE AVE","03/31/2005",41.7966223,-87.6412161
"2757 W WASHINGTON BLVD","03/04/1999",41.8827901,-87.6961404
"2719 W FLOURNOY ST","12/10/1998",41.8726385,-87.6944184
"218 N ALBANY AVE","04/20/1976",41.8847399,-87.704057
"7348 S MORGAN ST","09/28/1996",41.7600588,-87.649485
"9313 S WENTWORTH AVE","10/10/2008",41.724778,-87.6283941
"814 W 54TH PL","07/03/1992",41.7954063,-87.6458879
"7400 S STEWART AVE","03/17/1998",41.7596652,-87.6348879
"5351 S UNION AVE","03/19/1991",41.7964654,-87.6424256
"7036 S PRINCETON AVE","",41.766118,-87.6325521
"548 E 44TH ST","01/13/1995",41.8151329,-87.6121039
"641 N SPRINGFIELD AVE","",41.8930039,-87.7232145
"213 W 110TH PL","",41.6931718,-87.6287094
"3842 W LEXINGTON ST","02/08/1994",41.8719348,-87.7219784
"1140 S RICHMOND ST","04/30/1997",41.867065,-87.699932
"5304 S PEORIA ST","05/28/2004",41.7975242,-87.6480381
"6633 S HONORE ST","04/25/2002",41.7729095,-87.6697778
"1454 W 111TH ST","06/13/2008",41.6924158,-87.6591334
"1357 W 110TH PL","",41.692831,-87.6568311
"7044 S GREEN ST","03/23/1999",41.7656983,-87.6459983
"6209 S MARSHFIELD AVE","03/24/2005",41.780867,-87.6651244
"4151 W WILCOX ST","11/13/2015",41.8785588,-87.7300085
"1234 S KOMENSKY AVE","",41.8653633,-87.7267249
"8837 S BUFFALO AVE","07/19/2002",41.7345278,-87.5439962
"5813 S LAFLIN ST","08/10/2006",41.7881393,-87.6616569
"1524 S TRIPP AVE","09/19/2003",41.8597994,-87.7314534
"6618 S MORGAN ST","02/12/1998",41.7736497,-87.6498373
"5254 S WOLCOTT AVE","02/26/2004",41.7978099,-87.6723348
"4324 S LANGLEY AVE","",41.8160025,-87.6093154
"4148 W JACKSON BLVD","",41.8772894,-87.7299203
"11452 S DAVOL ST","10/24/2006",41.6853923,-87.664856
"6449 S EGGLESTON AVE","",41.7765543,-87.6359331
"5241 S UNION AVE","05/24/2004",41.7985808,-87.6424862
"8460 S ESCANABA AVE","06/02/1999",41.7411719,-87.5542746
"414 N HARDING AVE","11/17/2000",41.8885105,-87.7250163
"7706 S NORMAL AVE","",41.7541307,-87.6369666
"12014 S CALUMET AVE","01/31/2013",41.6758097,-87.6157078
"5032 S UNION AVE","10/14/2004",41.8021359,-87.6432544
"1227 W 71ST ST","",41.7647772,-87.6552569
"3021 W CULLERTON ST","01/14/2002",41.8543649,-87.7012548
"1122 S WHIPPLE ST","",41.867547,-87.7023908
"4145 S LANGLEY AVE","",41.8190765,-87.6090929
"6153 S ELIZABETH ST","03/12/1982",41.7817501,-87.6555197
"2640 W 25TH ST","11/23/2010",41.8466968,-87.6920396
"5301 S WOLCOTT AVE","03/08/2004",41.7974707,-87.6716257
"7926 S PARNELL AVE","",41.7490498,-87.638279
"1225 W 71ST PL","01/10/1979",41.7638698,-87.6551417
"11711 S PEORIA ST","08/22/2005",41.6810231,-87.6441079
"108 N LOTUS AVE","12/05/2019",41.8759196,-87.7624036
"831 W 53RD PL","02/05/2002",41.7966571,-87.6465643
"5140 S THROOP ST","02/08/2006",41.8002157,-87.657813
"741 W 60TH PL","",41.7840881,-87.6440938
"8857 S BUFFALO AVE","",41.7339712,-87.5439826
"911 W 50TH ST","07/25/2005",41.8031006,-87.6483663
"5256 S ABERDEEN ST","12/18/1997",41.7979638,-87.6528997
"729 W 60TH ST","",41.7849489,-87.6436712
"6526 S ELLIS AVE","",41.7760037,-87.601111
"6209 S HERMITAGE AVE","04/15/2005",41.7808353,-87.6675432
"11220 S CHURCH ST","",41.6898976,-87.6667152
"1651 W 59TH ST","",41.7864616,-87.6664455
"8800 S BUFFALO AVE","07/10/2002",41.7354859,-87.5448268
"5150 S UNION AVE","09/12/1996",41.800133,-87.6432067
"344 W 116TH ST","09/27/1990",41.6836508,-87.6318854
"1416 S KENNETH AVE","11/14/2001",41.861752,-87.7364044
"4558 S CHAMPLAIN AVE","",41.8113949,-87.6100156
"11619 S PRINCETON AVE","03/05/2012",41.6828148,-87.6296667
"8558 S BURLEY AVE","",41.7394001,-87.5457297
"1319 S HEATH AVE","03/09/1995",41.8642412,-87.6841004
"417 N AVERS AVE","",41.8886184,-87.7218777
"1808 S CENTRAL PARK AVE","",41.8568216,-87.7154882
"8807 S BURLEY AVE","04/23/2002",41.7353339,-87.5454093
"165 E KENSINGTON AVE","",41.6835868,-87.6182058
"3510 W HURON ST","",41.893931,-87.7142965
"3117 W POLK ST","",41.8707108,-87.7040784
"8843 S BUFFALO AVE","08/05/2004",41.7343216,-87.5439911
"11114 S STEWART AVE","12/17/2010",41.6919535,-87.6331045
"259 W 108TH PL","06/22/2011",41.6967942,-87.6302446
"105 N PINE AVE","11/12/2019",41.8825617,-87.7627936
"2742 W LEXINGTON ST","03/27/1997",41.8722413,-87.6952969
"5648 S LAFAYETTE AVE","09/09/1988",41.7914621,-87.6270103
"633 E 45TH ST","",41.8130093,-87.6101537
"5757 S LASALLE ST","01/09/2002",41.7892702,-87.6287965
"5320 S MARSHFIELD AVE","03/08/2005",41.7969865,-87.6662364
"3960 W ERIE ST","01/11/2000",41.8930746,-87.7257921
"6670 S MICHIGAN AVE","08/09/1977",41.7729551,-87.6230598
"6436 S ABERDEEN ST","",41.7767352,-87.6523501
"649 W 120TH ST","04/23/2002",41.6757977,-87.6389555
"13423 S FOREST AVE","",41.6510687,-87.6142689
"7824 S WOODLAWN AVE","03/15/1999",41.7526667,-87.5961276
"904 W 51ST PL","03/05/1998",41.8009009,-87.6480382
