"Address","Date.of.Acquisition","Latitude","Longitude"
"11831 S STEWART AVE","01/17/2008",41.6787661,-87.6319477
"8868 S WINCHESTER AVE","02/01/1999",41.7320122,-87.6686413
"8508 S BUFFALO AVE","11/27/2000",41.7407828,-87.5445295
"11955 S YALE AVE","09/19/2012",41.6764018,-87.628276
"234 E 134TH ST","12/11/2000",41.6521462,-87.6158422
"8535 S BURLEY AVE","01/27/1976",41.7400906,-87.5450285
"8350 S BUFFALO AVE","10/02/2000",41.7432565,-87.544583
"53 E 100TH PL","08/30/2005",41.7114859,-87.6215332
"11914 S LASALLE ST","02/26/2016",41.6774681,-87.6266181
"8335 S BUFFALO AVE","06/04/2001",41.7437467,-87.5438969
"8818 S LOOMIS ST","01/13/1998",41.7333565,-87.6584814
"12315 S EDBROOKE AVE","12/15/2005",41.6702578,-87.6184679
"2038 W 68TH PL","08/04/1998",41.7695904,-87.6752421
"8739 S MORGAN ST","08/10/2000",41.7347885,-87.6481191
"15 E 100TH ST","08/04/1998",41.7123747,-87.6229437
"1238 W 50TH ST","07/16/1999",41.8035127,-87.6566742
"6152 S THROOP ST","02/05/1980",41.7815434,-87.6574347
"10400 S CORLISS AVE","06/21/1999",41.7055069,-87.6043312
"6417 S STEWART AVE","",41.7775357,-87.6348376
"10625 S EDBROOKE AVE","08/05/1993",41.7009947,-87.6193115
"444 W 116TH ST","11/14/1997",41.6837036,-87.6341697
"9342 S LASALLE ST","04/17/1985",41.7240017,-87.6278621
"8355 S BUFFALO AVE","07/19/1979",41.7431274,-87.5438835
"6124 S MAY ST","11/30/1982",41.7824729,-87.6537129
"12006 S PRAIRIE AVE","03/05/2012",41.676021,-87.6168863
"11739 S STEWART AVE","08/22/2012",41.6803936,-87.6319969
"725 E 93RD ST","01/12/1995",41.7255533,-87.6061172
"6203 S JUSTINE ST","01/30/2003",41.7811267,-87.6626954
"704 E 92ND ST","12/26/2000",41.7277584,-87.6067319
"729 E 91ST PL","03/27/2006",41.7281605,-87.6058253
"508 W 116TH ST","05/17/2007",41.6836279,-87.6352747
"6148 S ABERDEEN ST","06/30/1976",41.7818631,-87.652484
"8630 S BALTIMORE AVE","12/21/2000",41.7383456,-87.5493653
"730 E 90TH ST","04/06/1993",41.7314363,-87.6058803
"12327 S EDBROOKE AVE","11/22/2005",41.6699698,-87.6184545
"11832 S PRINCETON AVE","06/07/1996",41.6787408,-87.6302378
"959 W 127TH ST","10/19/2007",41.6621251,-87.6470405
"10500 S CORLISS AVE","12/23/1975",41.7036775,-87.6042788
"6036 S MAY ST","02/06/1976",41.783978,-87.6537505
"41 E 122ND PL","06/21/2007",41.6715359,-87.6206709
"9214 S PERRY AVE","07/14/1997",41.7266425,-87.6267256
"8319 S BUFFALO AVE","11/20/2001",41.7442285,-87.5439074
"6134 S THROOP ST","07/13/2001",41.7821438,-87.6574516
"8408 S BUFFALO AVE","10/15/1996",41.7426012,-87.5445688
"17 E 100TH ST","08/04/1998",41.7123761,-87.6228524
"10561 S EDBROOKE AVE","11/01/1996",41.7017575,-87.6193332
"6120 S THROOP ST","05/21/1975",41.7825727,-87.6574637
"6129 S LAFLIN ST","12/12/1986",41.7822428,-87.6615116
"5610 S ADA ST","09/30/2015",41.7918957,-87.6588147
"5606 S LAFLIN ST","01/27/2004",41.7919088,-87.6624518
"6039 S ADA ST","09/07/2005",41.7838745,-87.6579076
"1542 W 62ND ST","07/20/1982",41.7815623,-87.6635721
"6156 S ADA ST","09/07/2005",41.7815273,-87.6585953
"6047 S ADA ST","12/15/1999",41.7836687,-87.6579024
"1536 W 61ST ST","05/26/1977",41.783386,-87.6633535
"5601 S SANGAMON ST","08/02/2006",41.7923088,-87.6483979
"6130 S THROOP ST","10/24/2013",41.7822982,-87.657456
"149 W 57TH PL","09/03/1970",41.7897255,-87.629634
"5619 S MORGAN ST","01/25/2006",41.791826,-87.649604
"5529 S ABERDEEN ST","04/20/2011",41.7929261,-87.6520706
"5518 S CARPENTER ST","04/28/1997",41.793208,-87.6515621
"1456 W 62ND ST","02/04/1980",41.7815897,-87.6616356
"1516 W 62ND ST","12/07/1995",41.7815764,-87.6625845
"5527 S ADA ST","09/26/1973",41.7928993,-87.6581426
"5516 S CARPENTER ST","04/28/1997",41.7932766,-87.6515639
"5617 S ADA ST","10/27/2009",41.7917685,-87.6581128
"5624 S PEORIA ST","10/02/1973",41.7917212,-87.6478691
"1530 W 61ST ST","05/26/1977",41.7833931,-87.6629344
"1502 W 62ND ST","08/02/2016",41.7815838,-87.6620601
"1538 W 61ST ST","12/22/2009",41.7833849,-87.6634414
"6128 S JUSTINE ST","01/25/2011",41.78222,-87.6634221
"5612 S BISHOP ST","09/07/2006",41.7917178,-87.6612392
"101 N PINE AVE","02/03/2020",41.8824283,-87.7627889
"105 N PINE AVE","11/12/2019",41.8825617,-87.7627936
"101 N PINE AVE","02/03/2020",41.8824283,-87.7627889
"105 N PINE AVE","11/12/2019",41.8825617,-87.7627936
"3319 W LEXINGTON ST","11/08/1973",41.871571,-87.7092812
"101 N PINE AVE","02/03/2020",41.8824283,-87.7627889
"111 N PINE AVE","02/03/2020",41.8826961,-87.7627983
"101 N PINE AVE","02/03/2020",41.8824283,-87.7627889
"111 N PINE AVE","02/03/2020",41.8826961,-87.7627983
"111 N PINE AVE","02/03/2020",41.8826961,-87.7627983
"101 N PINE AVE","02/03/2020",41.8824283,-87.7627889
"105 N PINE AVE","11/12/2019",41.8825617,-87.7627936
"118 N LOTUS AVE","12/17/2019",41.8828881,-87.7617775
